title,category
Pizza Hut,Food & Dining
Dominos,Food & Dining
McDonald's,Food & Dining
Swiggy order,Food & Dining
Zomato,Food & Dining
Restaurant bill,Food & Dining
Lunch,Food & Dining
Dinner,Food & Dining
Breakfast,Food & Dining
Coffee shop,Food & Dining
Starbucks,Food & Dining
Cafe,Food & Dining
Biryani,Food & Dining
Grocery store,Food & Dining
Vegetables,Food & Dining
Milk,Food & Dining
Bread,Food & Dining
Snacks,Food & Dining
Ice cream,Food & Dining
Food delivery,Food & Dining
Chai,Food & Dining
Maggi,Food & Dining
Burger,Food & Dining
Sandwich,Food & Dining
Pasta,Food & Dining
Noodles,Food & Dining
Dosa,Food & Dining
Idli,Food & Dining
Paratha,Food & Dining
Dal,Food & Dining
Uber,Transportation
Ola,Transportation
Auto rickshaw,Transportation
Bus ticket,Transportation
Train ticket,Transportation
Metro card recharge,Transportation
Petrol,Transportation
Fuel,Transportation
Diesel,Transportation
Cab,Transportation
Rapido,Transportation
Bike service,Transportation
Car service,Transportation
Parking fee,Transportation
Toll tax,Transportation
Flight ticket,Transportation
Indigo flight,Transportation
SpiceJet,Transportation
Air India,Transportation
IndiGo,Transportation
Vehicle maintenance,Transportation
Amazon,Shopping
Flipkart,Shopping
Myntra,Shopping
Clothes,Shopping
Shirt,Shopping
Shoes,Shopping
Dress,Shopping
Jeans,Shopping
Jacket,Shopping
Accessories,Shopping
Bag,Shopping
Watch,Shopping
Sunglasses,Shopping
Online shopping,Shopping
Mall,Shopping
Big Bazaar,Shopping
Lifestyle,Shopping
Westside,Shopping
Zara,Shopping
H&M,Shopping
Electronics,Shopping
Mobile accessories,Shopping
Headphones,Shopping
Charger,Shopping
Netflix,Entertainment
Amazon Prime,Entertainment
Hotstar,Entertainment
Movie ticket,Entertainment
PVR,Entertainment
INOX,Entertainment
BookMyShow,Entertainment
Concert ticket,Entertainment
Gaming,Entertainment
Spotify,Entertainment
YouTube Premium,Entertainment
Disney+,Entertainment
Zee5,Entertainment
SonyLIV,Entertainment
Video games,Entertainment
Theme park,Entertainment
Bowling,Entertainment
Sports event,Entertainment
Comedy show,Entertainment
Music concert,Entertainment
Electricity bill,Bills & Utilities
Water bill,Bills & Utilities
Gas bill,Bills & Utilities
Internet bill,Bills & Utilities
Phone bill,Bills & Utilities
Mobile recharge,Bills & Utilities
Rent,Bills & Utilities
DTH recharge,Bills & Utilities
Cable TV,Bills & Utilities
Airtel,Bills & Utilities
Jio recharge,Bills & Utilities
BSNL,Bills & Utilities
Vodafone,Bills & Utilities
Maintenance charges,Bills & Utilities
Society charges,Bills & Utilities
Insurance premium,Bills & Utilities
Doctor,Healthcare
Hospital,Healthcare
Medicine,Healthcare
Pharmacy,Healthcare
Apollo pharmacy,Healthcare
MedPlus,Healthcare
Dental,Healthcare
Eye checkup,Healthcare
Blood test,Healthcare
Lab test,Healthcare
Surgery,Healthcare
Consultation fee,Healthcare
Physiotherapy,Healthcare
Gym membership,Healthcare
Yoga class,Healthcare
Health checkup,Healthcare
Vaccination,Healthcare
Medical bill,Healthcare
Tuition fee,Education
School fee,Education
College fee,Education
Course,Education
Online course,Education
Udemy,Education
Coursera,Education
Books,Education
Notebook,Education
Stationery,Education
Exam fee,Education
Coaching,Education
Skill course,Education
Certification,Education
Workshop,Education
Hotel,Travel
Resort,Travel
Airbnb,Travel
Booking.com,Travel
MakeMyTrip,Travel
Goibibo,Travel
Yatra,Travel
Trip,Travel
Vacation,Travel
Sightseeing,Travel
Tour package,Travel
Visa fee,Travel
Travel insurance,Travel
Luggage,Travel
Backpack,Travel
Miscellaneous,Other
Donation,Other
Gift,Other
Party,Other
Birthday,Other
ATM withdrawal,Other
Bank charges,Other
Subscription,Other
Membership,Other
Unknown,Other
Repair,Other
Plumber,Other
Electrician,Other
Carpenter,Other
Cleaning,Other
